CIUDAD,ESTADO,lat,lon
Aguascalientes,Aguascalientes,21.853347778320312,-102.18634033203125
Campeche,Campeche,19.803987503051758,-90.54466247558594
Chetumal,Quintana Roo,18.551239013671875,-88.26435852050781
Chihuahua,Chihuahua,28.5602970123291,-105.97515869140625
Chilpancingo,Guerrero,17.357059478759766,-99.38336944580078
Ciudad Victoria,Tamaulipas,23.73514747619629,-99.14810943603516
Ciudad de México,Distrito Federal,19.427045822143555,-99.12757110595703
Colima,Colima,19.210365295410156,-103.68409729003906
Cuernavaca,Morelos,18.9500789642334,-99.1811752319336
Culiacán,Sinaloa,24.71333885192871,-107.45555877685547
Durango,Durango,24.020000457763672,-104.4000015258789
Guadalajara,Jalisco,20.67359161376953,-103.34379577636719
Guanajuato,Guanajuato,21.010000228881836,-101.1500015258789
Hermosillo,Sonora,29.020444869995117,-110.83422088623047
Jalapa,Veracruz,19.467729568481445,-96.92547607421875
La Paz,Baja California Sur,24.189830780029297,-110.25386047363281
Mexicali,Baja California,32.62020492553711,-115.29423522949219
Monterrey,Nuevo León,25.677352905273438,-100.31708526611328
Morelia,Michoacán,19.663354873657227,-101.07320404052734
Mérida,Yucatán,20.821868896484375,-89.55286407470703
Oaxaca,Oaxaca,16.90743064880371,-96.95134735107422
Pachuca,Hidalgo,20.09705924987793,-98.70044708251953
Puebla,Puebla,19.04863166809082,-98.19294738769531
Querétaro,Querétaro,20.50074005126953,-100.24117279052734
Saltillo,Coahuila,25.441856384277344,-100.9958267211914
San Luis Potosí,San Luis Potosí,22.13671875,-100.96923828125
Tepic,Nayarit,21.530447006225586,-104.78241729736328
Tlaxcala,Tlaxcala,19.277629852294922,-98.19722747802734
Toluca,México,19.32049560546875,-99.53128051757812
Tuxtla Gutierrez,Chiapas,16.63029670715332,-92.99516296386719
Villahermosa,Tabasco,17.967557907104492,-92.862548828125
Zacatecas,Zacatecas,22.75921630859375,-102.72293853759766
