CIUDAD,Aguascalientes,Campeche,Chetumal,Chihuahua,Chilpancingo,Ciudad Victoria,Ciudad de México,Colima,Cuernavaca,Culiacán,Durango,Guadalajara,Guanajuato,Hermosillo,Jalapa,La Paz,Mexicali,Monterrey,Morelia,Mérida,Oaxaca,Pachuca,Puebla,Querétaro,Saltillo,San Luis Potosí,Tepic,Tlaxcala,Toluca,Tuxtla Gutierrez,Villahermosa,Zacatecas
Aguascalientes,0.0,1232.4740931201184,1499.5546718298185,835.1796409330354,578.0520411157129,375.1374246464627,416.8358951801536,331.6809061320617,449.0777921763361,625.1434783171678,330.32738445878977,177.4612852994724,142.34284471544584,1176.9384227832347,608.4365918208542,866.3226290989644,1760.2527157486882,464.39319595410444,268.74328597069115,1315.1208347072827,775.826905437305,411.32677423436155,519.6084757330277,251.45363668926373,415.57687522377154,129.54202837587158,271.0167521045173,504.2536647225713,393.9953715708117,1125.6171074907677,1066.477424865719,114.53911211250349
Campeche,1232.4740931201184,0.0,277.0381433281992,1840.8271565413575,971.289918306217,990.2647067733701,901.2062029411759,1380.4499178597405,912.0930995839703,1824.2403002292808,1504.8861744340982,1340.4699856939749,1114.740826894126,2292.2814846280467,670.2495919557521,2090.2936793839594,2840.9360094003455,1195.3855552546354,1103.5542358228477,153.06008865393773,749.0730782647962,854.2763903458203,807.4970945171588,1016.5097575012293,1241.8972800382173,1114.1110602132417,1495.2703934365638,805.1554675702864,944.4011200063783,436.5257342260112,317.7376420397891,1304.9594611789867
Chetumal,1499.5546718298185,277.0381433281992,0.0,2116.9120168931418,1185.0521902809794,1267.165508781426,1147.7880104229082,1625.8368124807744,1151.817525644708,2098.1467003969856,1778.9766244608918,1598.562454804988,1377.001778159138,2569.3007267376097,917.4156919978165,2361.365215080863,3116.8739223251496,1471.5289593398968,1353.0831309846594,285.36169530461956,939.05783063464,1109.7513788912918,1047.9505555576345,1275.102526962548,1518.7293186717413,1384.1212584396349,1758.3486173914412,1049.3227045991616,1189.607861950663,545.2698406260164,490.51168676528357,1576.1323690698066
Chihuahua,835.1796409330354,1840.8271565413575,2116.9120168931418,0.0,1412.1062393416482,866.7230286079778,1227.6425802741612,1061.4508029948415,1269.1577570805896,450.98865728621155,527.034792504608,913.228078160995,967.9794844958676,477.1119328851117,1363.3900686661736,645.4713747245635,1000.154572204405,645.441731997296,1103.9093278309097,1867.2593488292262,1587.3766503526494,1192.5445930107423,1317.6897178290408,1064.7127885847444,602.915514164732,871.678755064767,787.9557190328843,1296.8616979769436,1214.9392063512098,1875.0627073945584,1779.6759186305387,720.7519268976934
Chilpancingo,578.0520411157129,971.289918306217,1185.0521902809794,1412.1062393416482,0.0,706.5566328047511,230.7051123627133,498.827382878864,177.61209065690375,1168.7042951389935,903.8145966592919,555.4806583149275,444.9896157150413,1742.0690856218569,349.2946656220682,1360.4532370858497,2326.137751452058,926.3189068231834,311.44909418936663,1102.997080798726,263.53165574884224,311.72013443230105,225.63299254642976,359.51477834868285,910.6210947486185,554.5905569066442,731.1936833291877,246.7993296088237,217.8832722519441,684.9787771347546,695.1428394857985,692.5145304472718
Ciudad Victoria,375.1374246464627,990.2647067733701,1267.165508781426,866.7230286079778,706.5566328047511,0.0,477.01950198515334,686.890893578288,529.8233871184581,850.6138665940503,535.7917617968827,549.5668297342589,365.46000997428325,1303.9791540849674,525.546242294657,1131.1812326871639,1862.9080741516439,245.50525213727406,492.8779712083758,1039.8592129029976,789.8830495581578,405.48874873975547,528.2640838176018,375.4826547703725,266.00130818814006,257.3376931813825,628.466709482502,503.2855446044825,490.4175987391666,1015.6373347109842,913.8448707361428,381.44641213868283
Ciudad de México,416.8358951801536,901.2062029411759,1147.7880104229082,1227.6425802741612,230.7051123627133,477.01950198515334,0.0,479.4311724793003,53.097670909330496,1039.4681808982646,745.6103330557139,462.13635536385453,274.54312844437686,1592.7754027786273,231.27857908810228,1264.9038560608374,2175.311839909233,702.8647853196532,205.85076669479844,1012.8425504539722,361.6321625552886,86.63246053522212,106.82288305743478,166.47591310390513,693.2357997155619,356.03352333159927,634.1789880267609,99.13901395659435,44.021078052166246,719.2515381635945,680.2437642098732,524.9860067275289
Colima,331.6809061320617,1380.4499178597405,1625.8368124807744,1061.4508029948415,498.827382878864,686.890893578288,479.4311724793003,0.0,474.75551841931446,723.1001122239521,537.6790508550887,165.85527791598537,331.5245360394935,1306.4618135269186,710.7003186996715,875.0212792111876,1883.8336262417756,795.4742383912992,278.72503843744903,1488.8592838631134,756.9013996908387,531.7673252920146,577.9787835137133,387.8656673267066,743.4748112023467,430.06705031884206,281.28177536957793,576.9003059322781,436.720122621272,1167.692721450622,1150.2436078860403,405.42415577785124
Cuernavaca,449.0777921763361,912.0930995839703,1151.817525644708,1269.1577570805896,177.61209065690375,529.8233871184581,53.097670909330496,474.75551841931446,0.0,1066.7361154288808,779.3067023096619,475.9995775640391,307.3370395937784,1625.9678443452572,244.02926803964988,1284.468810348858,2209.326405544482,754.0695727449544,213.94731492003677,1029.1740724144333,326.97870817298025,136.6266361277162,104.62303463658331,204.48196724400563,742.7772804329657,399.02641002146913,651.1676897505467,109.69620990471321,55.117335302859175,704.2791238777397,676.1798513762947,560.0364066291716
Culiacán,625.1434783171678,1824.2403002292808,2098.1467003969856,450.98865728621155,1168.7042951389935,850.6138665940503,1039.4681808982646,723.1001122239521,1066.7361154288808,0.0,319.3822845679079,615.2317191068909,765.944414455549,583.4172272021536,1231.4781409619866,289.5882318546204,1163.2184558590536,727.2704247723617,863.3805588142556,1886.7608010044003,1392.6872168539119,1035.9000729645763,1143.8659572349834,875.9829794633121,656.6091925240814,721.5740703445149,446.3083430523502,1129.179211512232,1012.4863971447174,1750.476337523912,1686.379972022573,528.7891238230063
Durango,330.32738445878977,1504.8861744340982,1778.9766244608918,527.034792504608,903.8145966592919,535.7917617968827,745.6103330557139,537.6790508550887,779.3067023096619,319.3822845679079,0.0,386.20035959314276,472.08748932208175,847.1684338586317,922.6896860128514,595.4102944923776,1430.0769572738284,451.63212286911016,592.3692269761921,1568.169118706181,1105.829035283278,731.1358791067092,846.194445648634,579.2407421897298,378.67962462956245,408.71460256339134,278.4778589640013,829.2139600863318,724.2008608250924,1443.7722415635606,1373.1515851518789,221.10211902347044
Guadalajara,177.4612852994724,1340.4699856939749,1598.562454804988,913.228078160995,555.4806583149275,549.5668297342589,462.13635536385453,165.85527791598537,475.9995775640391,615.2317191068909,386.20035959314276,0.0,231.34477194501707,1194.2605467407216,684.4443323876343,810.7583342945858,1777.0123828509802,634.8432499439024,262.3805209521995,1435.9000649605189,792.258578509862,488.8850812550304,568.649131499188,324.02014723527657,580.2535452399255,294.71740881200617,177.03510348660961,560.348090067018,426.14882036902833,1179.6145395821209,1141.1684342300234,239.7005237599386
