orden,ciudad_index,ciudad,estado
1,6,Ciudad de México,Distrito Federal
2,18,Morelia,Michoacán
3,28,Toluca,México
4,8,Cuernavaca,Morelos
5,14,Jalapa,Veracruz
6,31,Zacatecas,Zacatecas
7,11,Guadalajara,Jalisco
8,7,Colima,Colima
9,26,Tepic,Nayarit
10,27,Tlaxcala,Tlaxcala
11,22,Puebla,Puebla
12,20,Oaxaca,Oaxaca
13,4,Chilpancingo,Guerrero
14,15,La Paz,Baja California Sur
15,16,Mexicali,Baja California
16,13,Hermosillo,Sonora
17,3,Chihuahua,Chihuahua
18,9,Culiacán,Sinaloa
19,21,Pachuca,Hidalgo
20,25,San Luis Potosí,San Luis Potosí
21,12,Guanajuato,Guanajuato
22,29,Tuxtla Gutierrez,Chiapas
23,30,Villahermosa,Tabasco
24,2,Chetumal,Quintana Roo
25,1,Campeche,Campeche
26,19,Mérida,Yucatán
27,5,Ciudad Victoria,Tamaulipas
28,0,Aguascalientes,Aguascalientes
29,23,Querétaro,Querétaro
30,17,Monterrey,Nuevo León
31,24,Saltillo,Coahuila
32,10,Durango,Durango
