orden,ciudad_index,ciudad,estado
1,6,Ciudad de México,Distrito Federal
2,14,Jalapa,Veracruz
3,20,Oaxaca,Oaxaca
4,30,Villahermosa,Tabasco
5,19,Mérida,Yucatán
6,2,Chetumal,Quintana Roo
7,1,Campeche,Campeche
8,29,Tuxtla Gutierrez,Chiapas
9,4,Chilpancingo,Guerrero
10,18,Morelia,Michoacán
11,11,Guadalajara,Jalisco
12,26,Tepic,Nayarit
13,7,Colima,Colima
14,0,Aguascalientes,Aguascalientes
15,10,Durango,Durango
16,17,Monterrey,Nuevo León
17,16,Mexicali,Baja California
18,13,Hermosillo,Sonora
19,3,Chihuahua,Chihuahua
20,15,La Paz,Baja California Sur
21,9,Culiacán,Sinaloa
22,31,Zacatecas,Zacatecas
23,25,San Luis Potosí,San Luis Potosí
24,5,Ciudad Victoria,Tamaulipas
25,24,Saltillo,Coahuila
26,12,Guanajuato,Guanajuato
27,23,Querétaro,Querétaro
28,22,Puebla,Puebla
29,27,Tlaxcala,Tlaxcala
30,8,Cuernavaca,Morelos
31,28,Toluca,México
32,21,Pachuca,Hidalgo
